                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3866,                 3.2155,                 1.4652,                0.58214,                0.15273,                0.23543,                0.10677,                 1.7637,                 3.2286,                 1.7242,               0.070366,              0.0032927,              0.0032927
                      1,                 1.2886,                 2.0051,                 1.3987,                0.52443,                0.38978,                0.42039,                 0.1952,                 1.8027,                 2.3339,                 1.7894,               0.040147,              0.0064074,              0.0064074
                      2,                 1.2657,                 1.8048,                  1.391,                0.43181,                0.35258,                  0.309,                 0.1344,                 2.1095,                 2.8026,                 2.1791,              0.0097085,               0.009302,               0.009302
                      3,                 1.2854,                  1.752,                 1.4068,                0.42295,                0.26299,                0.24993,                0.10442,                 2.0971,                  2.868,                 2.1793,                0.00901,                0.00901,                0.00901
                      4,                 1.2591,                 1.6593,                 1.3857,                0.55684,                0.38745,                 0.3797,                0.16194,                 2.0519,                 2.7128,                 2.0523,                0.00901,                0.00901,                0.00901
                      5,                 1.2292,                 1.5654,                  1.362,                0.56193,                0.47008,                0.47638,                0.20773,                 1.9453,                 2.1168,                  1.896,                0.00868,                0.00868,                0.00868
                      6,                 1.2153,                  1.486,                 1.3456,                0.65774,                0.47267,                 0.5027,                0.21997,                 1.9321,                 1.9336,                   1.88,                0.00835,                0.00835,                0.00835
                      7,                 1.1927,                 1.4571,                 1.3384,                0.68338,                0.39261,                0.47413,                0.21359,                 1.9357,                   1.99,                 1.9038,                0.00802,                0.00802,                0.00802
                      8,                 1.1762,                 1.4171,                 1.3208,                0.67159,                0.48462,                0.51989,                0.23334,                 1.9038,                 1.8681,                 1.9178,                0.00769,                0.00769,                0.00769
                      9,                 1.1557,                 1.3585,                 1.3097,                  0.732,                0.52244,                0.59364,                 0.2537,                 1.9344,                 1.7371,                 1.9154,                0.00736,                0.00736,                0.00736
                     10,                 1.1348,                 1.3124,                 1.2929,                0.67141,                0.48236,                0.50575,                0.24867,                 1.7863,                 1.7691,                 1.7784,                0.00703,                0.00703,                0.00703
                     11,                 1.1115,                 1.2742,                 1.2793,                  0.728,                 0.5619,                0.61973,                0.31513,                 1.7296,                 1.5094,                 1.7435,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.1079,                 1.2512,                 1.2735,                0.79927,                0.56841,                 0.6297,                0.30661,                 1.7587,                 1.5128,                 1.7348,                0.00637,                0.00637,                0.00637
                     13,                 1.0944,                  1.225,                  1.265,                0.72066,                  0.553,                 0.6049,                0.29442,                  1.786,                 1.6163,                  1.816,                0.00604,                0.00604,                0.00604
                     14,                 1.0748,                 1.1826,                 1.2516,                0.75006,                0.56122,                0.61708,                0.28893,                 1.8351,                 1.5343,                 1.7804,                0.00571,                0.00571,                0.00571
                     15,                 1.0682,                 1.1636,                 1.2459,                0.79694,                0.59212,                0.64661,                0.31593,                 1.7546,                 1.3858,                 1.7432,                0.00538,                0.00538,                0.00538
                     16,                 1.0573,                 1.1339,                 1.2358,                0.80516,                0.59949,                0.66726,                0.33378,                 1.7477,                 1.3247,                 1.7108,                0.00505,                0.00505,                0.00505
                     17,                 1.0424,                  1.116,                 1.2289,                0.80725,                0.63229,                0.68365,                0.37849,                 1.5893,                 1.2492,                 1.5978,                0.00472,                0.00472,                0.00472
                     18,                 1.0274,                 1.0847,                 1.2201,                0.76624,                0.64435,                0.67879,                0.35072,                 1.6806,                 1.2956,                 1.6921,                0.00439,                0.00439,                0.00439
                     19,                 1.0181,                 1.0702,                 1.2118,                0.85565,                0.60632,                0.69486,                0.37435,                  1.602,                  1.226,                 1.6113,                0.00406,                0.00406,                0.00406
                     20,                 1.0461,                 1.0305,                 1.2389,                0.80191,                0.62131,                0.69153,                0.39045,                 1.5211,                 1.2186,                 1.5594,                0.00373,                0.00373,                0.00373
                     21,                  1.029,                0.97562,                 1.2221,                0.83677,                0.61823,                0.69547,                0.36295,                 1.6046,                 1.2639,                 1.6246,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.0108,                 0.9491,                 1.2084,                0.82024,                0.62034,                0.70159,                0.39658,                 1.5397,                 1.1708,                   1.57,                0.00307,                0.00307,                0.00307
                     23,                0.99776,                0.92514,                 1.1984,                0.78594,                0.65767,                0.70819,                0.38261,                 1.5862,                  1.191,                 1.6049,                0.00274,                0.00274,                0.00274
                     24,                0.97903,                0.90729,                 1.1901,                0.84379,                0.66548,                0.72739,                0.40038,                 1.5448,                 1.1092,                 1.5887,                0.00241,                0.00241,                0.00241
                     25,                0.96608,                0.88485,                 1.1849,                0.82903,                0.68385,                0.74389,                0.40322,                 1.5543,                 1.0829,                 1.5677,                0.00208,                0.00208,                0.00208
                     26,                0.95148,                 0.8683,                 1.1712,                0.87154,                0.65621,                0.73496,                0.39587,                 1.6118,                 1.0828,                 1.6229,                0.00175,                0.00175,                0.00175
                     27,                 0.9415,                0.84361,                  1.165,                0.86226,                0.65384,                0.73254,                0.41656,                 1.5526,                 1.0668,                 1.5747,                0.00142,                0.00142,                0.00142
                     28,                0.92733,                0.82555,                 1.1564,                0.88246,                0.66377,                0.75095,                0.42909,                 1.4851,                 1.0641,                 1.5334,                0.00109,                0.00109,                0.00109
                     29,                0.91171,                0.80781,                 1.1468,                0.90911,                 0.6636,                0.74985,                0.43246,                 1.4862,                 1.0045,                  1.534,                0.00076,                0.00076,                0.00076
